Fold,Trait,RsqTrain,MseTrain,RsqTest,MseTest
1,Anthesis,0.405885981,25.60536231,0.670584004,18.08932028
2,Anthesis,0.538319651,20.72543948,0.310531406,33.26010378
3,Anthesis,0.518627298,23.22118909,0.488342671,20.10847849
4,Anthesis,0.48021836,24.43030168,0.455644085,23.49438645
1,Silking,0.436957333,24.88065893,0.65174959,20.40232853
2,Silking,0.548449768,21.33486877,0.418984515,27.804744
3,Silking,0.543546456,22.43597936,0.563769004,19.13130751
4,Silking,0.512306942,24.24270266,0.502871945,20.91894034
1,ASI,0.163634266,0.735476711,0.096120208,0.812881566
2,ASI,0.133121857,0.787493255,0.07924431,0.75799151
3,ASI,0.068229165,0.813042189,0.197185144,0.759680862
4,ASI,0.147900178,0.760447443,0.21616103,0.699855321
mean,Anthesis,0.485762823,23.49557314,0.481275541,23.73807225
mean,Silking,0.510315125,23.22355243,0.534343763,22.0643301
mean,ASI,0.128221367,0.774114899,0.147177673,0.757602315
